year,month,day,pc1eon1_me_njt,stoxx50_me_njt
1999,1,7,-0.03587306,-1.23144264
1999,1,21,0.00343001,-0.21212635
1999,2,18,0,0.17415741
1999,3,4,-0.00186116,0.08240675
1999,3,18,-0.00058182,0.06092161
1999,4,8,-0.00705911,-0.0406427
1999,4,22,-0.00266694,0.09529947
1999,5,6,0.00593219,-0.36785083
1999,5,20,0,-0.02015009
1999,6,2,-0.00709821,-0.0307028
1999,6,17,0.001715,-0.29562765
1999,7,1,0.00133347,-0.0209059
1999,7,15,0.03051143,0.60566966
1999,7,29,-0.00929159,-0.07222824
1999,8,26,-0.0013876,-0.23559841
1999,9,9,-0.02273234,0.31773564
1999,9,23,-0.0226712,0.25163068
1999,10,7,-0.10463442,-0.27028868
1999,10,21,-0.06292091,-0.3238946
1999,11,4,0.05220523,0.52962313
1999,11,18,0.0029032,0.03788944
1999,12,2,0,0.14101385
1999,12,15,-0.00026669,0.1020749
2000,1,5,-0.01341911,-0.56623338
2000,1,20,0.00153376,0.02069859
2000,2,3,0.02468115,1.51135467
2000,2,17,0,0.13312427
2000,3,2,-0.03563098,0.38174972
2000,3,16,-0.04077599,0.03225443
2000,3,30,-0.00496377,0.35371374
2000,4,13,-0.00288628,-0.61200045
2000,4,27,0.01133399,0.00095167
2000,5,11,0.01634047,1.8289513
2000,5,25,-0.01668231,0.16030747
2000,6,8,0.16361952,-1.07295129
2000,6,21,-0.00554294,0.06090551
2000,7,6,0.02413409,-0.10103332
2000,7,20,-0.00659526,-0.25580431
2000,8,3,-0.01317134,-0.16677948
2000,8,31,-0.0678423,0.345034
2000,9,14,-0.03153834,0.50002942
2000,10,5,0.0760064,-0.33792202
2000,10,19,0.00136855,0.68181491
2000,11,2,-0.00138624,0.12367614
2000,11,16,-0.02017797,-0.19483855
2000,11,30,0,-0.05492882
2000,12,14,0.02158205,0.379688
2001,1,4,0.00764495,-0.0321331
2001,1,18,0.00245751,-0.16031401
2001,2,1,0.007227,0.08102708
2001,2,15,0.00937643,0.25260043
2001,3,1,0.04361231,-0.16582604
2001,3,15,0.00580163,0.10594608
2001,3,29,0.04729883,-0.52518958
2001,4,11,0.17336277,0.70978016
2001,4,26,0.01173069,0.27429905
2001,5,10,-0.22575142,0.80856205
2001,5,23,0.00853605,-0.04531677
2001,6,7,0.00372321,-0.16296877
2001,6,21,0.04658577,0.09125381
2001,7,5,0.02310666,-0.31151706
2001,7,19,0.02050148,0.07785943
2001,8,2,0.06361702,-0.17170993
2001,8,30,-0.03818363,-0.99537822
2001,9,27,0.01658983,-0.70821535
2001,10,11,0.07965324,0.90069346
2001,10,25,0.02946434,-0.48478595
2001,11,8,0.02851834,-0.51717385
2001,12,6,0.02949904,-0.36411508
2002,1,3,0.02064142,0.02256732
2002,2,7,0.03254447,0.73011999
2002,3,7,0.01260563,0.20327803
2002,4,4,-0.01416075,-0.14846166
2002,5,2,0.04715893,-0.2537061
2002,6,6,0.0057496,-0.28223068
2002,7,4,-0.00793278,-0.23717285
2002,8,1,0.00227201,-0.52637732
2002,9,12,-0.02366379,-0.88099301
2002,10,10,0.03071983,-0.18462331
2002,11,7,0.02778629,-1.60454961
2002,12,5,-0.04331595,-0.89127732
2003,1,9,0.02437889,1.23744907
2003,2,6,0.02010775,-1.40471361
2003,3,6,0.04343564,-1.38558258
2003,4,3,0.02058424,-0.23679494
2003,5,8,0.03846894,-1.12156217
2003,6,5,-0.05591729,-0.93779993
2003,7,10,0.0075694,0.25653996
2003,7,31,0.00658004,-0.08394781
2003,9,4,-0.00494854,-0.15110905
2003,10,2,0.0142864,-0.77918705
2003,11,6,0.00453532,0.10115685
2003,12,4,-0.00935051,-0.46528059
2004,1,8,-0.00570874,0.32201916
2004,2,5,-0.00839319,-0.08221407
2004,3,4,0.0393093,0.24664537
2004,4,1,0.07296493,-0.37845871
2004,5,6,0.0106747,-0.37566942
2004,6,3,-0.01047553,0.16367397
2004,7,1,0.00049905,-0.2621215
2004,8,5,0.0006859,0.05590263
2004,9,2,0.01226794,-0.1622594
2004,10,7,-0.01174128,-0.06097013
2004,11,4,-0.00543329,-0.07725479
2004,12,2,0.01333335,-0.34658875
2005,1,13,-0.03347474,0.02423328
2005,2,3,-0.00350263,-0.32887773
2005,3,3,-0.00718546,0.16930795
2005,4,7,-0.01347769,-0.31312757
2005,5,4,0.00148418,0.25566349
2005,6,2,0.01500552,-0.14392818
2005,7,7,0.01925217,0.93338077
2005,8,4,0.001029,-0.05242843
2005,9,1,-0.00476272,0.11799447
2005,10,6,-0.00188755,0.19684521
2005,11,3,-0.01026146,0.65821821
2005,12,1,-0.02670689,0.46817372
2006,1,12,-0.02225289,0.11555121
2006,2,2,-0.00833432,0.03444805
2006,3,2,0.00850003,-0.54361807
2006,4,6,-0.08984051,0.31708557
2006,5,4,-0.00191047,-0.03966908
2006,6,8,-0.03983118,0.59052958
2006,7,6,0.02005941,-0.12308404
2006,8,3,0.01736394,-0.00273188
2006,8,31,0.01073192,-0.01625492
2006,10,5,-0.00018962,0.09462191
2006,11,2,-0.00529334,-0.90067325
2006,12,7,0.01962216,0.69718066
2007,1,11,-0.04150362,0.64494701
2007,2,8,0.00771568,-0.25462769
2007,3,8,0.00987209,0.08544726
2007,4,12,-0.00346171,-0.32149992
2007,5,10,-0.00290809,-0.1173842
2007,6,6,-0.00703539,-0.11073382
2007,7,5,0.00075216,-0.12065965
2007,8,2,-0.00330418,-0.05102855
2007,9,6,-0.03781337,0.52631203
2007,10,4,-0.00196639,-0.08321707
2007,11,8,-0.01982925,-0.34910278
2007,12,6,0.01949256,-0.38173808
2008,1,10,-0.00175552,-0.29561503
2008,2,7,-0.04888653,-0.60503824
2008,3,6,0.0291067,-0.5644706
2008,4,10,0.00095366,0.04997474
2008,5,8,-0.0109625,-0.42531973
2008,6,5,0.14343617,-0.43398363
2008,7,3,-0.08438024,1.35320062
2008,8,7,-0.0411749,-0.63727
2008,9,4,-0.00681325,-0.75548351
2008,10,2,-0.05648127,-0.81076049
2008,11,6,0.196883,-1.30428193
2008,12,4,0.04901022,-1.47784599
2009,1,15,-0.0241724,-0.57152648
2009,2,5,-0.05621161,-0.45809168
2009,3,5,0.00405386,0.22865964
2009,4,2,0.08112619,-0.05106089
2009,5,7,-0.02358817,-0.29222154
2009,6,4,0.03827651,0.01202429
2009,7,2,-0.06540118,-1.66959763
2009,8,6,0.00170221,-0.09544789
2009,9,3,-0.04256837,-0.21909921
2009,10,8,-0.0231514,-0.17340042
2009,11,5,-0.01509742,0.80755114
2009,12,3,-0.03891098,0.31481738
2010,1,14,-0.01146139,-0.18183071
2010,2,4,-0.00493536,-0.95750631
2010,3,4,-0.01231379,0.30775521
2010,4,8,0.0043003,-0.10028073
2010,5,6,0.00801934,-0.69277171
2010,6,10,-0.00329712,0.68781436
2010,7,8,0.04608401,0.57679091
2010,8,5,-0.0098585,-0.60187301
2010,9,2,-0.01302859,-0.11866376
2010,10,7,-0.00122733,0.0691708
2010,11,4,-0.00802085,-0.12471508
2010,12,2,-0.02720094,-0.28737538
2011,1,13,0.03516476,-0.01616467
2011,2,3,-0.03779849,0.15811866
2011,3,3,0.12741799,-0.15745933
2011,4,7,0.01634949,0.34226461
2011,5,5,-0.10202556,0.22645333
2011,6,9,-0.01723008,0.20654227
2011,7,7,0.01373823,0.64546647
2011,8,4,-0.15934806,-1.19662958
2011,9,8,0.00152807,-0.34556551
2011,10,6,0.15148492,-0.8744957
2011,11,3,-0.12833746,0.16790254
2011,12,8,-0.0058921,-1.14186083
2012,1,12,-0.00200203,-0.8559145
2012,2,9,0.00100112,0.46465873
2012,3,8,-0.00144984,-0.23682095
2012,4,4,0.00082266,-0.20176645
2012,5,3,0.01470268,-1.05730906
2012,6,6,0.02637532,-0.62052728
2012,7,5,-0.11023113,-1.55924456
2012,8,2,0.02916996,-2.76954372
2012,9,6,0.0036362,1.15497069
2012,10,4,0.0044187,-0.09719345
2012,11,8,0.0122973,-0.03763116
2012,12,6,-0.00846141,-0.01769183
2013,1,10,0.01459521,0.33228741
2013,2,7,-0.01585986,-0.04977289
2013,3,7,0.01279714,-0.06061496
2013,4,4,-0.00228617,-0.82610697
2013,5,2,-0.01053415,0.00368933
2013,6,6,0.01675042,-0.74049034
2013,7,4,-0.01813524,1.60533889
2013,8,1,0.00837382,0.22211859
2013,9,5,-0.00487435,0.11963388
2013,10,2,0.00064975,-0.20135407
2013,11,7,-0.01170647,0.9225278
2013,12,5,0.01328731,-0.34621652
2014,1,9,-0.00745502,-0.35126327
2014,2,6,0.03899579,0.02410252
2014,3,6,0.04106641,-0.32006225
2014,4,3,0.02212865,0.7940191
2014,5,8,0.00422368,0.24032696
2014,6,5,-0.02315795,0.75852165
2014,7,3,-0.00478437,0.48136635
2014,8,7,0.00253349,0.01837922
2014,9,4,-0.06255296,0.99429229
2014,10,2,0.00500119,-1.61119242
2014,11,6,0.00251874,1.19355648
2014,12,4,0.00743632,-1.63189595
2015,1,22,-0.00735276,0.48445007
2015,3,5,-0.00335964,-0.06589038
2015,4,15,0.00647213,0.14934876
2015,6,3,-0.00262391,-0.31966197
2015,7,16,0.00061472,0.05540467
2015,9,3,-0.00179498,0.9635312
2015,10,22,-0.02041936,2.00693574
2015,12,3,0.09469723,-3.64585352
2016,1,21,-0.02108314,0.40071391
2016,3,10,0.04858048,0.68863376
2016,4,21,0.00156239,-0.2486707
2016,6,2,-0.00053339,-0.45169528
2016,7,21,0.02497346,0.2685607
2016,9,8,0.01302278,-0.70677867
2016,10,20,-0.00055054,0.09883986
2016,12,8,0.00126248,0.76108915
2017,1,19,-0.00011167,0.35398374
2017,3,9,0.00096352,0.39268821
2017,4,27,-0.00268325,0.02523525
2017,6,8,-0.00146786,-0.169991
2017,7,20,-0.01090708,0.0560513
2017,9,7,0.00099561,0.05664905
2017,10,26,0.00138533,0.40000084
2017,12,14,-0.0017787,0.19861475
2018,1,25,-4.37e-05,-0.60682878
2018,3,8,0.0023023,0.66280236
2018,4,26,-0.00079894,-0.12311498
2018,6,14,-0.00596121,1.24082943
2018,7,26,0,0.23589142
2018,9,13,-0.00091647,-0.18695419
2018,10,25,0.00168416,-0.59883743
2018,12,13,-0.00060007,0.12055604
2019,1,24,-0.00375949,-0.61087131
2019,3,7,-0.00560113,-0.36168037
2019,4,10,-0.00286165,0.0399349
2019,6,6,0.02282548,-0.59025703
2019,7,25,0.03579489,-0.73933
2019,9,12,0.06514306,0.042317
2019,10,24,0.00097007,-0.22371
2019,12,12,0.00066665,0.3329
2020,1,23,0.00541421,-0.47058
2020,3,12,0.12104052,-3.98467
2020,4,30,0.01564257,-1.13854
2020,6,4,0.00286351,0.02
